base_card_uuid,uuid,face_change,name,type,power,toughness,loyalty,keywords,rules_text,flavor_text
08ddcbee-906a-4b40-b585-99854dfd458c,0b256718-35b1-460b-9b30-83623ae1cf23,transform,Treasure Cove,Land,NULL,NULL,NULL,"Transform,Scry","(Transforms from Treasure Map.)\n{T}: Add {C}.\n{T}, Sacrifice a Treasure: Draw a card.","""Half the treasure is the glory of finding it."""
09c8c150-a0d8-4254-9169-7697e9c540da,b1b723e7-2f58-446b-94c0-4a03a4a0c82c,modal_dfc,Kazandu Valley,Land,NULL,NULL,NULL,Landfall,Kazandu Valley enters the battlefield tapped.\n{T}: Add {G}.,NULL
0ae56c0b-6d67-4081-be31-f501b94b2087,5cf6d265-b3d6-41dd-92f4-f2ebb5dadf19,art_series,Expedition Diviner,Card,NULL,NULL,NULL,NULL,NULL,NULL
0b0eab47-af62-4ee8-99cf-a864fadade2d,de36287c-ea22-412b-b75a-c96063164a33,transform,Erupting Dreadwolf,Creature -- Eldrazi Werewolf,6,4,NULL,Transform,"Whenever Erupting Dreadwolf attacks, it deals 2 damage to any target.",""". . . heck, I'd settle for anything that even resembled a werewolf.""\n -- Raf Gyel of the Quiver of Kessig"
0bf031e9-65cd-425d-9dfd-69230bf9984c,dacd8ace-e3cc-4f37-8b92-b1fe47b3a5a9,art_series,Nissa of Shadowed Boughs 2,Card,NULL,NULL,NULL,NULL,NULL,NULL
0ce39a19-f51d-4a35-ae80-5b82eb15fcff,d30fe86d-27e7-47a8-a916-991b484539f5,modal_dfc,Searstep Pathway,Land,NULL,NULL,NULL,NULL,{T}: Add {R}.,"""Our brave Tuskeri brethren blaze new trails, and we follow, mapping the routes of those who survive.""\n -- Solrun, Beskir warrior"
0d200f98-3377-46a3-9197-3cbd95d03dbf,fa48a8be-5b82-483e-ac3f-d5701eeabcc8,transform,Scrounged Scythe,Artifact -- Equipment,NULL,NULL,NULL,Equip,"Equipped creature gets +1/+1.\nAs long as equipped creature is a Human, it has menace. (It can't be blocked except by two or more creatures.)\nEquip {2}",NULL
0dbaef61-fa39-4ea7-bc21-445401c373e7,905682d3-1227-4309-b16f-d7a0907eaf58,transform,Ulvenwald Abomination,Creature -- Eldrazi Werewolf,4,6,NULL,"Transform,Defender",{T}: Add {C}{C}.,"""The Eldrazi are all too practiced at twisting natural into unnatural.""\n -- Nissa Revane"
0f4d3cec-bd91-4edd-9b6b-568e272e7891,f6622d53-80a7-4890-8368-720895084dd8,transform,Spitfire Bastion,Legendary Land,NULL,NULL,NULL,Transform,"(Transforms from Vance's Blasting Cannons.)\n{T}: Add {R}.\n{2}{R}, {T}: Spitfire Bastion deals 3 damage to any target.","""Now instead of a ship, Ripley Vance commands a fortress."""
1001e708-e4f9-456a-8b9d-3421a2a3833d,fdd3a9bc-9806-484b-afed-28b414e81802,transform,Lunarch Inquisitors,Creature -- Human Cleric,4,4,NULL,Transform,"When this creature transforms into Lunarch Inquisitors, you may exile another target creature until Lunarch Inquisitors leaves the battlefield.","""We come bearing the tools of confession and absolution."""
1056ab38-416c-450b-9e99-1a3eefc39f32,34e96380-e628-4693-8368-4fe9daceb6fb,transform,"Azcanta, the Sunken Ruin",Legendary Land,NULL,NULL,NULL,Transform,"(Transforms from Search for Azcanta.)\n{T}: Add {U}.\n{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",NULL
10bd9fc7-f079-42e8-8436-c5462abf0220,07a78a20-0f6a-4b9c-9d67-4230139c5328,modal_dfc,"Emeria, Shattered Skyclave",Land,NULL,NULL,NULL,NULL,"As Emeria, Shattered Skyclave enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.\n{T}: Add {W}.","""You called it the castle of a god. It is less than that, and so much more.""\n -- Kasla, Emeria shepherd"
11568cdf-6148-494c-8b98-f5ca5797d775,b5288ac0-5a4f-400d-be6d-3022a86833e4,modal_dfc,Silundi Isle,Land,NULL,NULL,NULL,NULL,Silundi Isle enters the battlefield tapped.\n{T}: Add {U}.,"""From the hedron fields of Agadeem to the Faduun of Jwar Isle, the islands of the Silundi Sea offer one mystery after another.""\n -- Jori En, expedition leader"
11bf83bb-c95b-4b4f-9a56-ce7a1816307a,28779c21-4f23-4778-954c-eb216abd4385,transform,Insectile Aberration,Creature -- Human Insect,3,2,NULL,"Flying,Transform",Flying,"""Unfortunately, all my test animals have died or escaped, so I shall be the final subject. I feel no fear. This is a momentous night.""\n -- Laboratory notes, final entry"
127864cd-f322-4aa1-9f45-e72cd452c172,4710f8ae-9cb9-4ea4-b9ce-134de1fd5722,art_series,"Urza, Lord High Artificer",Card,NULL,NULL,NULL,NULL,NULL,NULL
12dc98da-c7cb-44f1-93d5-3bd1bfe69b87,e8006d82-3a75-4d0c-9867-4f11ae45a629,art_series,"Orah, Skyclave Hierophant",Card,NULL,NULL,NULL,NULL,NULL,NULL
1303e02a-ef69-4817-bca5-02c74774b811,b2d71af2-e6a4-4410-bbae-f0aa37145c32,transform,Krallenhorde Killer,Creature -- Werewolf,2,2,NULL,Transform,"{3}{G}: Krallenhorde Killer gets +4/+4 until end of turn. Activate this ability only once each turn.\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Krallenhorde Killer.",NULL
13595b5d-5b78-4d63-89ae-02837693ba46,188263e3-f6e5-48c6-b496-caf9eb2d90fd,modal_dfc,Lavaglide Pathway,Land,NULL,NULL,NULL,NULL,{T}: Add {R}.,NULL
13896468-e3d0-4bcb-b09e-b5c187aecb03,c645dc8e-9091-4700-a78a-65c9a3720976,transform,Lord of Lineage,Creature -- Vampire,5,5,NULL,"Flying,Transform",Flying\nOther Vampire creatures you control get +2/+2.\n{T}: Create a 2/2 black Vampire creature token with flying.,NULL
14529bed-9632-4d58-8edc-c5a1359f6604,60a33182-1015-44f4-a696-d01332936c8a,transform,Timber Shredder,Creature -- Werewolf,4,2,NULL,"Transform,Trample","Trample\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Timber Shredder.","""She even had the audacity to criticize my wares as inferior.""\n -- Old Rutstein"
161d1277-05e8-4503-a3a5-4d47309abdd0,7ddf44af-2805-473c-9e3b-0d21c4afda55,art_series,"Jace, Mirror Mage 1",Card,NULL,NULL,NULL,NULL,NULL,NULL
16d1ca9f-ae66-4e5e-8bf2-b795414e6e47,92c49d86-cb47-4ee5-8795-fe2953ad4196,art_series,Face of Divinity,Card,NULL,NULL,NULL,NULL,NULL,NULL
18305993-b254-42e5-89f7-ad7ebc4426fa,ff80c2b1-6480-4767-8d73-b001d439ae72,art_series,Skyclave Shade,Card,NULL,NULL,NULL,NULL,NULL,NULL
193071fe-180b-4d35-ba78-9c16675c29fc,33c8cd51-d361-44f2-9d7b-72db835cab8d,modal_dfc,"Sea Gate, Reborn",Land,NULL,NULL,NULL,NULL,"As Sea Gate, Reborn enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.\n{T}: Add {U}.","""We carry on the legacy of those who defended our world by continuing to unearth its secrets.""\n -- Tazri"
199204f4-a365-42f9-a6fd-fd5ee9722b26,68820b88-7074-4a81-912d-162fae35a71d,art_series,Forest 3,Card,NULL,NULL,NULL,NULL,NULL,NULL
19b09eb3-4ffc-47b8-aa37-7f760f86e11c,3c446746-fd9f-4215-8e0d-423fb59a783c,modal_dfc,Lavaglide Pathway,Land,NULL,NULL,NULL,NULL,{T}: Add {R}.,"""Don't fear the heat. Just let it lift you up.""\n -- Amandi, kitesail expert"
19b29a8b-c5c0-4a89-9e77-0fc0c5ccf54e,0cbcd2ea-aeb1-4145-a95a-3b2ad207901d,art_series,Rebuild,Card,NULL,NULL,NULL,NULL,NULL,NULL
1a7e242e-bb48-4134-a1c2-6033713d658f,f5a26315-58cd-4e3f-a1e9-a1c8f684b32c,transform,"Azcanta, the Sunken Ruin",Legendary Land,NULL,NULL,NULL,Transform,"(Transforms from Search for Azcanta.)\n{T}: Add {U}.\n{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",NULL
1c773f3a-50dc-447c-b2db-e122168732e9,5a28deb8-106d-46c1-a808-3f6216c5d350,modal_dfc,Grimclimb Pathway,Land,NULL,NULL,NULL,NULL,{T}: Add {B}.,"""My mother wanted me to take over the family dry goods business, but no. I had to come here.""\n -- Yavotz, Sea Gate Expeditionary House"
1d0b9a8b-3814-4ce9-a1fa-9a2326cc97d6,9359c879-4021-4993-8f45-0faf8a7c7506,art_series,"Morophon, the Boundless",Card,NULL,NULL,NULL,NULL,NULL,NULL
1d34ff67-24e1-4cf5-b032-8be6b83e0819,8e3e6e45-668c-4757-b291-04c7882979be,double_faced_token,Goblin,Token Creature -- Goblin,1,1,NULL,"Flying,Defender",NULL,NULL
1d94ff37-f04e-48ee-8253-d62ab07f0632,3324535a-2d9f-40ef-8aed-9f654517b227,transform,Tomb of the Dusk Rose,Legendary Land,NULL,NULL,NULL,Transform,"(Transforms from Profane Procession.)\n{T}: Add one mana of any color.\n{2}{W}{B}, {T}: Put a creature card exiled with this permanent onto the battlefield under your control.",""". . . resting in the splendor of the dead."""
1dce4e5a-08ab-4f52-bdfb-6d2dafbb055f,fe8fe0cc-cc9a-49d6-a951-375d76817aca,modal_dfc,Grimclimb Pathway,Land,NULL,NULL,NULL,NULL,{T}: Add {B}.,NULL
1eb4ddf4-f695-412d-be80-b93392432498,304ae18c-e5f9-4d70-8dd6-23f7da8b4f2e,transform,Grisly Anglerfish,Creature -- Eldrazi Fish,4,5,NULL,"Transform,Mill",{6}: Creatures your opponents control attack this turn if able.,""". . . it's that the lure of the sea is impossible to ignore."""
1f6213d9-c65d-48da-a501-279db5f31d6a,46148f3f-0f9b-4041-9501-ff1b1d7f0255,transform,Treasure Cove,Land,NULL,NULL,NULL,"Transform,Scry","(Transforms from Treasure Map.)\n{T}: Add {C}.\n{T}, Sacrifice a Treasure: Draw a card.","""Half the treasure is the glory of finding it."""
1f69159e-46cc-4399-8efe-3f94a5368e86,c037a0f2-62a0-4fb7-8a9a-6e050c8ed62c,double_faced_token,Roil Royale (cont'd),Card,NULL,NULL,NULL,NULL,"When a player reveals a guide, they keep that card.\nFoils are maps. When a player reveals a map, they keep that card. Players can use maps to peek at one of the cards on the table before choosing a card to reveal. The map is then put back onto the table face down, the cards are randomized, and play continues. (Foil uncommons, rares, and mythics can be used as either a map or a guide!)\nThe basic land is the location of the ruins. When a player reveals the land, if they have no guides, they are killed by the Roil and eliminated from the game. If that player has one guide, they survive. In either case, the ruins (and the guide) are put back onto the table face down, the cards are randomized, and play continues.\nTO WIN:\nThe first player to collect two guides and find the ruins -- or the last player standing -- wins!",NULL
1fe399eb-1868-4661-990f-8c9ccda4b003,7cabf641-755d-4ec7-9ce8-b3192fa1db4c,modal_dfc,Kazandu Valley,Land,NULL,NULL,NULL,Landfall,Kazandu Valley enters the battlefield tapped.\n{T}: Add {G}.,"""The elves stick to the trees. Here, where the trees welcome the sky and leave room for grazing herds -- this is our land.""\n -- Triel, Kazandu tuskcaller"
21963a5a-6837-4d1c-8df6-2a171455766e,b31af8d4-8fbc-43f6-9018-aaf93bb2f1f7,art_series,Lancer Sliver,Card,NULL,NULL,NULL,NULL,NULL,NULL
21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5,ee372d10-41b7-40a7-a67e-607a1dafacd1,art_series,"Jace, Mirror Mage 2",Card,NULL,NULL,NULL,NULL,NULL,NULL
21f5880d-6272-4ba8-bdf8-f9a7e54a3336,b3709d1e-1417-4d0a-b3b0-039c5317f8cf,double_faced_token,Treasure,Token Artifact -- Treasure,NULL,NULL,NULL,Trample,"{T}, Sacrifice this artifact: Add one mana of any color.",NULL
2257de44-db2a-4943-86fc-0bf2f84603d4,139f22fb-4746-4b01-a425-14ca8f82d64c,art_series,Everdream,Card,NULL,NULL,NULL,NULL,NULL,NULL
2264a0c3-92d7-4bb4-87ef-30d69074db82,37bf9367-c6a2-4be4-aef1-a0fe3251981e,art_series,Kor Celebrant,Card,NULL,NULL,NULL,NULL,NULL,NULL
228e551e-023a-4c9a-8f32-58dae6ffdf7f,01ff4c15-ac82-4010-8487-8ced276b5bfa,modal_dfc,Valakut Stoneforge,Land,NULL,NULL,NULL,NULL,Valakut Stoneforge enters the battlefield tapped.\n{T}: Add {R}.,"""I can hear the echo of their hammers, long stilled.""\n -- Tars Olan, stoneforge mystic"
22e816af-df55-4a3f-a6e7-0ff3bb1b45b5,668db0f9-087c-45f4-b76e-38fb0ae6bccd,transform,Voracious Reader,Creature -- Eldrazi Homunculus,3,4,NULL,"Prowess,Transform","Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nInstant and sorcery spells you cast cost {1} less to cast.","""Good books make you savor each word."""
235d1ffc-72aa-40a2-95dc-3f6a8d495061,911312f5-1218-4657-b6dd-f65a169e26b1,modal_dfc,Tangled Vale,Land,NULL,NULL,NULL,NULL,Tangled Vale enters the battlefield tapped.\n{T}: Add {G}.,"""We would do well to open our eyes and remember what it is to wonder.""\n -- Doral, Bala Ged guide"
2385cf77-9791-4453-831f-eaf9af62270c,a89011ed-ccc8-4fb4-ac5f-b3e21d02b55f,transform,Persistent Nightmare,Creature -- Nightmare,1,1,NULL,"Skulk,Mill","Skulk (This creature can't be blocked by creatures with greater power.)\nWhen Persistent Nightmare deals combat damage to a player, return it to its owner's hand.","""It seemed so real!"""
23f3fa96-6276-463e-8033-a64c8f06c933,edd2ec22-0dab-4d88-97b5-e7b53a495337,transform,Lambholt Butcher,Creature -- Werewolf,4,4,NULL,Transform,"At the beginning of each upkeep, if a player cast two or more spells last turn, transform Lambholt Butcher.","""True peace can't be achieved until everyone else is dead."""
243d374f-5b40-4cff-99f5-079ba873d44b,7df31c7a-3440-4e84-8fe3-0071dc3741e2,modal_dfc,"Shatterskull, the Hammer Pass",Land,NULL,NULL,NULL,NULL,"As Shatterskull, the Hammer Pass enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.\n{T}: Add {R}.",NULL
24842e29-77ac-4904-bd8f-b2cd163dd357,ab8086ba-5074-4920-b757-a14e8d24f755,transform,"Avacyn, the Purifier",Legendary Creature -- Angel,6,5,NULL,"Flying,Vigilance,Transform,Flash","Flying\nWhen this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.","""Wings that once bore hope are now stained with blood. She is our guardian no longer.""\n -- Grete, cathar apostate"
248bca31-fe3f-4937-9347-c45432822cab,eeca8d05-3924-4ad9-aaab-d2769e279db4,art_series,Prismatic Vista,Card,NULL,NULL,NULL,NULL,NULL,NULL
249cfc69-062a-43d4-9f09-7a8ba976f899,120096b3-a77b-4d9e-9ec3-79930321aa23,transform,"Gideon, Battle-Forged",Legendary Planeswalker -- Gideon,NULL,NULL,3,NULL,"+2: Up to one target creature an opponent controls attacks Gideon, Battle-Forged during its controller's next turn if able.\n+1: Until your next turn, target creature gains indestructible. Untap that creature.\n0: Until end of turn, Gideon, Battle-Forged becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.",NULL
25b54a1d-e201-453b-9173-b04e06ee6fb7,102e0d0f-70e5-4851-944c-aa931e457331,transform,Nightfall Predator,Creature -- Werewolf,4,4,NULL,"Transform,Fight","{R}, {T}: Nightfall Predator fights target creature. (Each deals damage equal to its power to the other.)\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Nightfall Predator.",NULL
25baac6c-5bb4-4ecc-b1d5-fced52087bd9,dfe69b5b-60bb-42c5-9bf8-1c9b4ff952c5,transform,Abolisher of Bloodlines,Creature -- Eldrazi Vampire,6,5,NULL,"Flying,Transform,Madness","Flying\nWhen this creature transforms into Abolisher of Bloodlines, target opponent sacrifices three creatures.","""Even if the rain turned to blood, her thirst would not be slaked."""
25f7030d-a6a1-4a51-b3c9-a48071adb7e0,da12d573-e56c-4d5d-b340-35cd52e71485,transform,Insidious Mist,Creature -- Elemental,0,1,NULL,"Indestructible,Transform,Hexproof","Hexproof, indestructible\nInsidious Mist can't block and can't be blocked.\nWhenever Insidious Mist attacks and isn't blocked, you may pay {2}{B}. If you do, transform it.",NULL
2668ac91-6cda-4f81-a08d-4fc5f9cb35b2,2d3227cf-8bac-4848-86a1-31e315b39c0c,modal_dfc,Lavaglide Pathway,Land,NULL,NULL,NULL,NULL,{T}: Add {R}.,"""Don't fear the heat. Just let it lift you up.""\n -- Amandi, kitesail expert"
26a2546f-d235-403c-9a50-75f5a92f7c00,9eac1061-58c2-4755-bcdf-c3c19bd8ba41,art_series,Scion of the Swarm,Card,NULL,NULL,NULL,NULL,NULL,NULL
27cb3555-c4c3-48e5-8c9d-b9819e3e0693,8e2f5bc4-d9d8-4255-b8e4-1a6d41ae681f,art_series,Blackbloom Rogue,Card,NULL,NULL,NULL,NULL,NULL,NULL
27d8e671-8d7a-479d-987f-b3e4acd72b41,98756140-4f1a-41eb-89aa-ef050c211ad3,modal_dfc,Murkwater Pathway,Land,NULL,NULL,NULL,NULL,{T}: Add {B}.,"""Here, at least, the danger is usually in plain sight.""\n -- Zahr Gada, Halimar expedition leader"
28059d09-2c7d-4c61-af55-8942107a7c1f,30e94cc7-84e3-42d4-924d-2ac57705a3b8,transform,Insectile Aberration,Creature -- Human Insect,3,2,NULL,"Flying,Transform",Flying,"""Unfortunately, all my test animals have died or escaped, so I shall be the final subject. I feel no fear. This is a momentous night.""\n -- Laboratory notes, final entry"
2879010f-b752-4808-8531-d24e612de0d9,06be09cf-c87a-40d2-9b2d-9cffc6d14d6f,double_faced_token,Saproling,Token Creature -- Saproling,1,1,NULL,NULL,NULL,NULL
299bda14-d657-476d-ac1f-d9f1e920d6c1,0df38f04-0cd2-4594-8659-14546b01c2ee,modal_dfc,Valakut Stoneforge,Land,NULL,NULL,NULL,NULL,Valakut Stoneforge enters the battlefield tapped.\n{T}: Add {R}.,"""I can hear the echo of their hammers, long stilled.""\n -- Tars Olan, stoneforge mystic"
2b14ed17-1a35-4c49-ac46-3cad42d46c14,744ee76a-e92d-4068-bea7-a682dbd5d23c,transform,Bane of Hanweir,Creature -- Werewolf,5,5,NULL,"Transform,Defender","Bane of Hanweir attacks each combat if able.\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Bane of Hanweir.","""Technically he never left his post. He looks after the wolf wherever it goes."""
2b31d323-a715-4085-a711-8f2a3f4d9942,c2c2b1ea-4133-43c8-9f1a-a6aab2521bcd,transform,Temple of Aclazotz,Legendary Land,NULL,NULL,NULL,Transform,"(Transforms from Arguel's Blood Fast.)\n{T}: Add {B}.\n{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.","""?Ǫ to the lost temple of a bat-god of night, eternal enemy to the Threefold Sun."""
2b567975-53b5-4716-831d-e65612285d51,111c4587-2c88-4ef4-8c36-8652b3840b4e,transform,"Chandra, Roaring Flame",Legendary Planeswalker -- Chandra,NULL,NULL,4,NULL,"+1: Chandra, Roaring Flame deals 2 damage to target player or planeswalker.\n -- 2: Chandra, Roaring Flame deals 2 damage to target creature.\n -- 7: Chandra, Roaring Flame deals 6 damage to each opponent. Each player dealt damage this way gets an emblem with ""At the beginning of your upkeep, this emblem deals 3 damage to you."" ",NULL
2bc9e1b0-e01c-4557-8d68-0576c8c44b33,e432f312-186d-4eba-b2ca-d2dd305038df,art_series,"Yawgmoth, Thran Physician",Card,NULL,NULL,NULL,NULL,NULL,NULL
2bd8b633-1e6f-4821-9feb-6c60aac696cd,f9fac15c-b593-4627-9438-fb8cf415b40b,art_series,Needleverge Pathway,Card,NULL,NULL,NULL,NULL,NULL,NULL
2d129661-7636-46c6-a3d8-ae4aaa8700de,79058213-625a-4fab-9169-0052d7b5ec4d,art_series,Forest 2,Card,NULL,NULL,NULL,NULL,NULL,NULL
2d844ee2-20a0-4071-bc2c-4a58ab1dc07f,80934a7a-a874-43ba-952e-32b9f98fdfb5,double_faced_token,Thopter,Token,NULL,NULL,NULL,Flying,NULL,NULL
2e20d047-0d43-4709-919c-0b0f714e9903,0be2657c-e1ae-499d-96dd-048f8ec3d572,double_faced_token,Treasure,Token Artifact -- Treasure,NULL,NULL,NULL,Hexproof,"{T}, Sacrifice this artifact: Add one mana of any color.",NULL
2e713f40-545d-4650-9649-fb6a4f1c8e01,bd1e1e67-81ef-468e-94b5-9383a5e91eba,modal_dfc,Hagra Broodpit,Land,NULL,NULL,NULL,NULL,Hagra Broodpit enters the battlefield tapped.\n{T}: Add {B}.,"""I think we somehow got turned around.""\n -- Doros, expedition guide"
2ea1cc05-8d11-4006-b25f-80c206525bb5,c569b2c1-982a-4ef9-a5df-01f960dc9951,art_series,Lesser Masticore,Card,NULL,NULL,NULL,NULL,NULL,NULL
2ecb1f7c-68eb-4458-87dd-6e42a7281cdb,4100b4a7-3d66-46e7-8503-aebc049714c3,art_series,Brightclimb Pathway,Card,NULL,NULL,NULL,NULL,NULL,NULL
2f632537-63bf-4490-86e6-e6067b9c1a3b,c6d3f31e-e32a-47d9-8788-cd51e7e258db,modal_dfc,Kazandu Valley,Land,NULL,NULL,NULL,Landfall,Kazandu Valley enters the battlefield tapped.\n{T}: Add {G}.,"""The elves stick to the trees. Here, where the trees welcome the sky and leave room for grazing herds -- this is our land.""\n -- Triel, Kazandu tuskcaller"
301750a7-d1fd-435e-bfa8-9d2fb22ad627,cc4c7314-e090-49c2-a536-d14517b47a23,modal_dfc,Jwari Ruins,Land,NULL,NULL,NULL,NULL,Jwari Ruins enters the battlefield tapped.\n{T}: Add {U}.,"""The Ondu Skyclave was a center for rebellion against the capital in Makindi. Of course they built in deadly traps.""\n -- Nys Dal, Sea Gate trapfinder"
303d51ab-b9c4-4647-950f-291daabe7b81,73baca10-ed6f-45d4-a211-1d6725aca723,transform,Sanctum of the Sun,Legendary Land,NULL,NULL,NULL,Transform,"(Transforms from Azor's Gateway.)\n{T}: Add X mana of any one color, where X is your life total.","""As soon as Jace laid eyes on the great sphinx's chamber, the shards of memory began sliding into place."""
30c3d4c1-dc3d-4529-9d6e-8c16149cf6da,3f40b584-37db-47b1-b4a4-d189d6cba005,transform,Final Iteration,Creature -- Eldrazi Insect,6,5,NULL,"Flying,Transform","Flying\nWizards you control get +2/+1 and have flying.\nWhenever you cast an instant or sorcery spell, create a 1/1 blue Human Wizard creature token.",NULL
31d45a85-887f-4c92-ab26-0b4e5eeb9b66,c18d50df-90c7-4b4f-b112-47b06a81ab31,art_series,Highborn Vampire,Card,NULL,NULL,NULL,NULL,NULL,NULL
