id,base_card_uuid,face_change,name,type,power,toughness,loyalty,mana_cost,keywords,rules_text,flavor_text
11,0511e232-2a72-40f5-a400-4f7ebc442d17,modal_dfc,Boulderloft Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {W}.,"""The path is stable. It's the gusts all around it that are a bit 'whoosh -- oops -- bye.'""\n -- Kreq of Sunder Bay"
12,0529769c-b70e-4856-a8ad-59c304d90e3a,transform,Spires of Orazca,Land,NULL,NULL,NULL,NULL,Transform,(Transforms from Thaumatic Compass.)\n{T}: Add {C}.\n{T}: Untap target attacking creature an opponent controls and remove it from combat.,""". . . a cryptic objective.""\n -- Jace Beleren"
13,05762685-a80f-44f2-a23d-24e97c375e04,art_series,Wasteland,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,05934d59-7e98-4fff-8ccb-70cd1a61c6fd,double_faced_token,Treasure,Token Artifact -- Treasure,NULL,NULL,NULL,NULL,Lifelink,"{T}, Sacrifice this artifact: Add one mana of any color.",NULL
15,05e2a5e6-3aaa-4096-bdd0-fcc1afe5a36c,transform,"Adanto, the First Fort",Legendary Land,NULL,NULL,NULL,NULL,Transform,"(Transforms from Legion's Landing.)\n{T}: Add {W}.\n{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink.",NULL
16,078b2103-15ce-456d-b092-352fa7222935,transform,Aurora of Emrakul,Creature -- Eldrazi Reflection,1,4,NULL,NULL,"Deathtouch,Flying,Transform","Flying, deathtouch\nWhenever Aurora of Emrakul attacks, each opponent loses 3 life.","""I felt compelled to take the twisted stone, and I abandoned my horse's burden to accommodate its weight. Now, its continued glow illuminates my home and warms my mind.""\n -- Garner Kroft, Moorland farmer"
17,08ddcbee-906a-4b40-b585-99854dfd458c,transform,Treasure Cove,Land,NULL,NULL,NULL,NULL,"Transform,Scry","(Transforms from Treasure Map.)\n{T}: Add {C}.\n{T}, Sacrifice a Treasure: Draw a card.","""Half the treasure is the glory of finding it."""
18,09c8c150-a0d8-4254-9169-7697e9c540da,modal_dfc,Kazandu Valley,Land,NULL,NULL,NULL,NULL,Landfall,Kazandu Valley enters the battlefield tapped.\n{T}: Add {G}.,NULL
19,0ae56c0b-6d67-4081-be31-f501b94b2087,art_series,Expedition Diviner,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,0b0eab47-af62-4ee8-99cf-a864fadade2d,transform,Erupting Dreadwolf,Creature -- Eldrazi Werewolf,6,4,NULL,NULL,Transform,"Whenever Erupting Dreadwolf attacks, it deals 2 damage to any target.",""". . . heck, I'd settle for anything that even resembled a werewolf.""\n -- Raf Gyel of the Quiver of Kessig"
21,0bf031e9-65cd-425d-9dfd-69230bf9984c,art_series,Nissa of Shadowed Boughs 2,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,0ce39a19-f51d-4a35-ae80-5b82eb15fcff,modal_dfc,Searstep Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {R}.,"""Our brave Tuskeri brethren blaze new trails, and we follow, mapping the routes of those who survive.""\n -- Solrun, Beskir warrior"
23,0d200f98-3377-46a3-9197-3cbd95d03dbf,transform,Scrounged Scythe,Artifact -- Equipment,NULL,NULL,NULL,NULL,Equip,"Equipped creature gets +1/+1.\nAs long as equipped creature is a Human, it has menace. (It can't be blocked except by two or more creatures.)\nEquip {2}",NULL
24,0dbaef61-fa39-4ea7-bc21-445401c373e7,transform,Ulvenwald Abomination,Creature -- Eldrazi Werewolf,4,6,NULL,NULL,"Transform,Defender",{T}: Add {C}{C}.,"""The Eldrazi are all too practiced at twisting natural into unnatural.""\n -- Nissa Revane"
25,0f4d3cec-bd91-4edd-9b6b-568e272e7891,transform,Spitfire Bastion,Legendary Land,NULL,NULL,NULL,NULL,Transform,"(Transforms from Vance's Blasting Cannons.)\n{T}: Add {R}.\n{2}{R}, {T}: Spitfire Bastion deals 3 damage to any target.","""Now instead of a ship, Ripley Vance commands a fortress."""
26,1001e708-e4f9-456a-8b9d-3421a2a3833d,transform,Lunarch Inquisitors,Creature -- Human Cleric,4,4,NULL,NULL,Transform,"When this creature transforms into Lunarch Inquisitors, you may exile another target creature until Lunarch Inquisitors leaves the battlefield.","""We come bearing the tools of confession and absolution."""
27,1056ab38-416c-450b-9e99-1a3eefc39f32,transform,"Azcanta, the Sunken Ruin",Legendary Land,NULL,NULL,NULL,NULL,Transform,"(Transforms from Search for Azcanta.)\n{T}: Add {U}.\n{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",NULL
28,10bd9fc7-f079-42e8-8436-c5462abf0220,modal_dfc,"Emeria, Shattered Skyclave",Land,NULL,NULL,NULL,NULL,NULL,"As Emeria, Shattered Skyclave enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.\n{T}: Add {W}.","""You called it the castle of a god. It is less than that, and so much more.""\n -- Kasla, Emeria shepherd"
29,11568cdf-6148-494c-8b98-f5ca5797d775,modal_dfc,Silundi Isle,Land,NULL,NULL,NULL,NULL,NULL,Silundi Isle enters the battlefield tapped.\n{T}: Add {U}.,"""From the hedron fields of Agadeem to the Faduun of Jwar Isle, the islands of the Silundi Sea offer one mystery after another.""\n -- Jori En, expedition leader"
30,11bf83bb-c95b-4b4f-9a56-ce7a1816307a,transform,Insectile Aberration,Creature -- Human Insect,3,2,NULL,NULL,"Flying,Transform",Flying,"""Unfortunately, all my test animals have died or escaped, so I shall be the final subject. I feel no fear. This is a momentous night.""\n -- Laboratory notes, final entry"
31,127864cd-f322-4aa1-9f45-e72cd452c172,art_series,"Urza, Lord High Artificer",Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,12dc98da-c7cb-44f1-93d5-3bd1bfe69b87,art_series,"Orah, Skyclave Hierophant",Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,1303e02a-ef69-4817-bca5-02c74774b811,transform,Krallenhorde Killer,Creature -- Werewolf,2,2,NULL,NULL,Transform,"{3}{G}: Krallenhorde Killer gets +4/+4 until end of turn. Activate this ability only once each turn.\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Krallenhorde Killer.",NULL
34,13595b5d-5b78-4d63-89ae-02837693ba46,modal_dfc,Lavaglide Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {R}.,NULL
35,13896468-e3d0-4bcb-b09e-b5c187aecb03,transform,Lord of Lineage,Creature -- Vampire,5,5,NULL,NULL,"Flying,Transform",Flying\nOther Vampire creatures you control get +2/+2.\n{T}: Create a 2/2 black Vampire creature token with flying.,NULL
36,14529bed-9632-4d58-8edc-c5a1359f6604,transform,Timber Shredder,Creature -- Werewolf,4,2,NULL,NULL,"Transform,Trample","Trample\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Timber Shredder.","""She even had the audacity to criticize my wares as inferior.""\n -- Old Rutstein"
37,161d1277-05e8-4503-a3a5-4d47309abdd0,art_series,"Jace, Mirror Mage 1",Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,16d1ca9f-ae66-4e5e-8bf2-b795414e6e47,art_series,Face of Divinity,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,18305993-b254-42e5-89f7-ad7ebc4426fa,art_series,Skyclave Shade,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,193071fe-180b-4d35-ba78-9c16675c29fc,modal_dfc,"Sea Gate, Reborn",Land,NULL,NULL,NULL,NULL,NULL,"As Sea Gate, Reborn enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.\n{T}: Add {U}.","""We carry on the legacy of those who defended our world by continuing to unearth its secrets.""\n -- Tazri"
41,199204f4-a365-42f9-a6fd-fd5ee9722b26,art_series,Forest 3,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,19b09eb3-4ffc-47b8-aa37-7f760f86e11c,modal_dfc,Lavaglide Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {R}.,"""Don't fear the heat. Just let it lift you up.""\n -- Amandi, kitesail expert"
43,19b29a8b-c5c0-4a89-9e77-0fc0c5ccf54e,art_series,Rebuild,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,1a7e242e-bb48-4134-a1c2-6033713d658f,transform,"Azcanta, the Sunken Ruin",Legendary Land,NULL,NULL,NULL,NULL,Transform,"(Transforms from Search for Azcanta.)\n{T}: Add {U}.\n{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",NULL
45,1c773f3a-50dc-447c-b2db-e122168732e9,modal_dfc,Grimclimb Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {B}.,"""My mother wanted me to take over the family dry goods business, but no. I had to come here.""\n -- Yavotz, Sea Gate Expeditionary House"
46,1d0b9a8b-3814-4ce9-a1fa-9a2326cc97d6,art_series,"Morophon, the Boundless",Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,1d34ff67-24e1-4cf5-b032-8be6b83e0819,double_faced_token,Goblin,Token Creature -- Goblin,1,1,NULL,NULL,"Flying,Defender",NULL,NULL
48,1d94ff37-f04e-48ee-8253-d62ab07f0632,transform,Tomb of the Dusk Rose,Legendary Land,NULL,NULL,NULL,NULL,Transform,"(Transforms from Profane Procession.)\n{T}: Add one mana of any color.\n{2}{W}{B}, {T}: Put a creature card exiled with this permanent onto the battlefield under your control.",""". . . resting in the splendor of the dead."""
49,1dce4e5a-08ab-4f52-bdfb-6d2dafbb055f,modal_dfc,Grimclimb Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {B}.,NULL
50,1eb4ddf4-f695-412d-be80-b93392432498,transform,Grisly Anglerfish,Creature -- Eldrazi Fish,4,5,NULL,NULL,"Transform,Mill",{6}: Creatures your opponents control attack this turn if able.,""". . . it's that the lure of the sea is impossible to ignore."""
51,1f6213d9-c65d-48da-a501-279db5f31d6a,transform,Treasure Cove,Land,NULL,NULL,NULL,NULL,"Transform,Scry","(Transforms from Treasure Map.)\n{T}: Add {C}.\n{T}, Sacrifice a Treasure: Draw a card.","""Half the treasure is the glory of finding it."""
52,1f69159e-46cc-4399-8efe-3f94a5368e86,double_faced_token,Roil Royale (cont'd),Card,NULL,NULL,NULL,NULL,NULL,"When a player reveals a guide, they keep that card.\nFoils are maps. When a player reveals a map, they keep that card. Players can use maps to peek at one of the cards on the table before choosing a card to reveal. The map is then put back onto the table face down, the cards are randomized, and play continues. (Foil uncommons, rares, and mythics can be used as either a map or a guide!)\nThe basic land is the location of the ruins. When a player reveals the land, if they have no guides, they are killed by the Roil and eliminated from the game. If that player has one guide, they survive. In either case, the ruins (and the guide) are put back onto the table face down, the cards are randomized, and play continues.\nTO WIN:\nThe first player to collect two guides and find the ruins -- or the last player standing -- wins!",NULL
53,1fe399eb-1868-4661-990f-8c9ccda4b003,modal_dfc,Kazandu Valley,Land,NULL,NULL,NULL,NULL,Landfall,Kazandu Valley enters the battlefield tapped.\n{T}: Add {G}.,"""The elves stick to the trees. Here, where the trees welcome the sky and leave room for grazing herds -- this is our land.""\n -- Triel, Kazandu tuskcaller"
54,21963a5a-6837-4d1c-8df6-2a171455766e,art_series,Lancer Sliver,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,21aa7091-0bb7-4eaf-8b76-9b14f4a2e9d5,art_series,"Jace, Mirror Mage 2",Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,21f5880d-6272-4ba8-bdf8-f9a7e54a3336,double_faced_token,Treasure,Token Artifact -- Treasure,NULL,NULL,NULL,NULL,Trample,"{T}, Sacrifice this artifact: Add one mana of any color.",NULL
57,2257de44-db2a-4943-86fc-0bf2f84603d4,art_series,Everdream,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,2264a0c3-92d7-4bb4-87ef-30d69074db82,art_series,Kor Celebrant,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,228e551e-023a-4c9a-8f32-58dae6ffdf7f,modal_dfc,Valakut Stoneforge,Land,NULL,NULL,NULL,NULL,NULL,Valakut Stoneforge enters the battlefield tapped.\n{T}: Add {R}.,"""I can hear the echo of their hammers, long stilled.""\n -- Tars Olan, stoneforge mystic"
60,22e816af-df55-4a3f-a6e7-0ff3bb1b45b5,transform,Voracious Reader,Creature -- Eldrazi Homunculus,3,4,NULL,NULL,"Prowess,Transform","Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nInstant and sorcery spells you cast cost {1} less to cast.","""Good books make you savor each word."""
61,235d1ffc-72aa-40a2-95dc-3f6a8d495061,modal_dfc,Tangled Vale,Land,NULL,NULL,NULL,NULL,NULL,Tangled Vale enters the battlefield tapped.\n{T}: Add {G}.,"""We would do well to open our eyes and remember what it is to wonder.""\n -- Doral, Bala Ged guide"
62,2385cf77-9791-4453-831f-eaf9af62270c,transform,Persistent Nightmare,Creature -- Nightmare,1,1,NULL,NULL,"Skulk,Mill","Skulk (This creature can't be blocked by creatures with greater power.)\nWhen Persistent Nightmare deals combat damage to a player, return it to its owner's hand.","""It seemed so real!"""
63,23f3fa96-6276-463e-8033-a64c8f06c933,transform,Lambholt Butcher,Creature -- Werewolf,4,4,NULL,NULL,Transform,"At the beginning of each upkeep, if a player cast two or more spells last turn, transform Lambholt Butcher.","""True peace can't be achieved until everyone else is dead."""
64,243d374f-5b40-4cff-99f5-079ba873d44b,modal_dfc,"Shatterskull, the Hammer Pass",Land,NULL,NULL,NULL,NULL,NULL,"As Shatterskull, the Hammer Pass enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.\n{T}: Add {R}.",NULL
65,24842e29-77ac-4904-bd8f-b2cd163dd357,transform,"Avacyn, the Purifier",Legendary Creature -- Angel,6,5,NULL,NULL,"Flying,Vigilance,Transform,Flash","Flying\nWhen this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.","""Wings that once bore hope are now stained with blood. She is our guardian no longer.""\n -- Grete, cathar apostate"
66,248bca31-fe3f-4937-9347-c45432822cab,art_series,Prismatic Vista,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,249cfc69-062a-43d4-9f09-7a8ba976f899,transform,"Gideon, Battle-Forged",Legendary Planeswalker -- Gideon,NULL,NULL,3,NULL,NULL,"+2: Up to one target creature an opponent controls attacks Gideon, Battle-Forged during its controller's next turn if able.\n+1: Until your next turn, target creature gains indestructible. Untap that creature.\n0: Until end of turn, Gideon, Battle-Forged becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.",NULL
68,25b54a1d-e201-453b-9173-b04e06ee6fb7,transform,Nightfall Predator,Creature -- Werewolf,4,4,NULL,NULL,"Transform,Fight","{R}, {T}: Nightfall Predator fights target creature. (Each deals damage equal to its power to the other.)\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Nightfall Predator.",NULL
69,25baac6c-5bb4-4ecc-b1d5-fced52087bd9,transform,Abolisher of Bloodlines,Creature -- Eldrazi Vampire,6,5,NULL,NULL,"Flying,Transform,Madness","Flying\nWhen this creature transforms into Abolisher of Bloodlines, target opponent sacrifices three creatures.","""Even if the rain turned to blood, her thirst would not be slaked."""
70,25f7030d-a6a1-4a51-b3c9-a48071adb7e0,transform,Insidious Mist,Creature -- Elemental,0,1,NULL,NULL,"Indestructible,Transform,Hexproof","Hexproof, indestructible\nInsidious Mist can't block and can't be blocked.\nWhenever Insidious Mist attacks and isn't blocked, you may pay {2}{B}. If you do, transform it.",NULL
71,2668ac91-6cda-4f81-a08d-4fc5f9cb35b2,modal_dfc,Lavaglide Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {R}.,"""Don't fear the heat. Just let it lift you up.""\n -- Amandi, kitesail expert"
72,26a2546f-d235-403c-9a50-75f5a92f7c00,art_series,Scion of the Swarm,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,27cb3555-c4c3-48e5-8c9d-b9819e3e0693,art_series,Blackbloom Rogue,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,27d8e671-8d7a-479d-987f-b3e4acd72b41,modal_dfc,Murkwater Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {B}.,"""Here, at least, the danger is usually in plain sight.""\n -- Zahr Gada, Halimar expedition leader"
75,28059d09-2c7d-4c61-af55-8942107a7c1f,transform,Insectile Aberration,Creature -- Human Insect,3,2,NULL,NULL,"Flying,Transform",Flying,"""Unfortunately, all my test animals have died or escaped, so I shall be the final subject. I feel no fear. This is a momentous night.""\n -- Laboratory notes, final entry"
76,2879010f-b752-4808-8531-d24e612de0d9,double_faced_token,Saproling,Token Creature -- Saproling,1,1,NULL,NULL,NULL,NULL,NULL
77,299bda14-d657-476d-ac1f-d9f1e920d6c1,modal_dfc,Valakut Stoneforge,Land,NULL,NULL,NULL,NULL,NULL,Valakut Stoneforge enters the battlefield tapped.\n{T}: Add {R}.,"""I can hear the echo of their hammers, long stilled.""\n -- Tars Olan, stoneforge mystic"
78,2b14ed17-1a35-4c49-ac46-3cad42d46c14,transform,Bane of Hanweir,Creature -- Werewolf,5,5,NULL,NULL,"Transform,Defender","Bane of Hanweir attacks each combat if able.\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Bane of Hanweir.","""Technically he never left his post. He looks after the wolf wherever it goes."""
79,2b31d323-a715-4085-a711-8f2a3f4d9942,transform,Temple of Aclazotz,Legendary Land,NULL,NULL,NULL,NULL,Transform,"(Transforms from Arguel's Blood Fast.)\n{T}: Add {B}.\n{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.","""?Ǫ to the lost temple of a bat-god of night, eternal enemy to the Threefold Sun."""
80,2b567975-53b5-4716-831d-e65612285d51,transform,"Chandra, Roaring Flame",Legendary Planeswalker -- Chandra,NULL,NULL,4,NULL,NULL,"+1: Chandra, Roaring Flame deals 2 damage to target player or planeswalker.\n -- 2: Chandra, Roaring Flame deals 2 damage to target creature.\n -- 7: Chandra, Roaring Flame deals 6 damage to each opponent. Each player dealt damage this way gets an emblem with ""At the beginning of your upkeep, this emblem deals 3 damage to you."" ",NULL
81,2bc9e1b0-e01c-4557-8d68-0576c8c44b33,art_series,"Yawgmoth, Thran Physician",Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,2bd8b633-1e6f-4821-9feb-6c60aac696cd,art_series,Needleverge Pathway,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,2d129661-7636-46c6-a3d8-ae4aaa8700de,art_series,Forest 2,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,2d844ee2-20a0-4071-bc2c-4a58ab1dc07f,double_faced_token,Thopter,Token,NULL,NULL,NULL,NULL,Flying,NULL,NULL
85,2e20d047-0d43-4709-919c-0b0f714e9903,double_faced_token,Treasure,Token Artifact -- Treasure,NULL,NULL,NULL,NULL,Hexproof,"{T}, Sacrifice this artifact: Add one mana of any color.",NULL
86,2e713f40-545d-4650-9649-fb6a4f1c8e01,modal_dfc,Hagra Broodpit,Land,NULL,NULL,NULL,NULL,NULL,Hagra Broodpit enters the battlefield tapped.\n{T}: Add {B}.,"""I think we somehow got turned around.""\n -- Doros, expedition guide"
87,2ea1cc05-8d11-4006-b25f-80c206525bb5,art_series,Lesser Masticore,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,2ecb1f7c-68eb-4458-87dd-6e42a7281cdb,art_series,Brightclimb Pathway,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,2f632537-63bf-4490-86e6-e6067b9c1a3b,modal_dfc,Kazandu Valley,Land,NULL,NULL,NULL,NULL,Landfall,Kazandu Valley enters the battlefield tapped.\n{T}: Add {G}.,"""The elves stick to the trees. Here, where the trees welcome the sky and leave room for grazing herds -- this is our land.""\n -- Triel, Kazandu tuskcaller"
90,301750a7-d1fd-435e-bfa8-9d2fb22ad627,modal_dfc,Jwari Ruins,Land,NULL,NULL,NULL,NULL,NULL,Jwari Ruins enters the battlefield tapped.\n{T}: Add {U}.,"""The Ondu Skyclave was a center for rebellion against the capital in Makindi. Of course they built in deadly traps.""\n -- Nys Dal, Sea Gate trapfinder"
91,303d51ab-b9c4-4647-950f-291daabe7b81,transform,Sanctum of the Sun,Legendary Land,NULL,NULL,NULL,NULL,Transform,"(Transforms from Azor's Gateway.)\n{T}: Add X mana of any one color, where X is your life total.","""As soon as Jace laid eyes on the great sphinx's chamber, the shards of memory began sliding into place."""
92,30c3d4c1-dc3d-4529-9d6e-8c16149cf6da,transform,Final Iteration,Creature -- Eldrazi Insect,6,5,NULL,NULL,"Flying,Transform","Flying\nWizards you control get +2/+1 and have flying.\nWhenever you cast an instant or sorcery spell, create a 1/1 blue Human Wizard creature token.",NULL
93,31d45a85-887f-4c92-ab26-0b4e5eeb9b66,art_series,Highborn Vampire,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,3216d161-a43d-4a55-a14b-098061805409,transform,Lord of Lineage,Creature -- Vampire,5,5,NULL,NULL,"Flying,Transform",Flying\nOther Vampire creatures you control get +2/+2.\n{T}: Create a 2/2 black Vampire creature token with flying.,NULL
95,321bbf60-14a3-49b7-9401-0f2bb0660908,transform,"Ulrich, Uncontested Alpha",Legendary Creature -- Werewolf,6,6,NULL,NULL,"Transform,Fight","Whenever this creature transforms into Ulrich, Uncontested Alpha, you may have it fight target non-Werewolf creature you don't control.\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Ulrich, Uncontested Alpha.",NULL
96,3246089d-9540-433b-b845-5bc7c3798f65,art_series,Nighthawk Scavenger,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,32779721-b021-4bd4-95d1-4a19b78d9faa,modal_dfc,Blackbloom Bog,Land,NULL,NULL,NULL,NULL,Menace,Blackbloom Bog enters the battlefield tapped.\n{T}: Add {B}.,"""The Raimunza River flows along the branches of jaddi trees for miles before plunging down to feed Blackbloom Lake.""\n -- Exena, expedition rogue"
98,32d01194-41dd-4505-9274-d44da313b1eb,modal_dfc,Grimclimb Pathway,Land,NULL,NULL,NULL,NULL,NULL,{T}: Add {B}.,"""My mother wanted me to take over the family dry goods business, but no. I had to come here.""\n -- Yavotz, Sea Gate Expeditionary House"
99,331b243d-f0a3-49b8-8a28-ff3a14600a2f,art_series,Grimclimb Pathway,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,33209977-45c6-4cd8-915e-1cc72966a7ce,transform,"Liliana, Defiant Necromancer",Legendary Planeswalker -- Liliana,NULL,NULL,3,NULL,Lifelink,"+2: Each player discards a card.\n -- X: Return target nonlegendary creature card with converted mana cost X from your graveyard to the battlefield.\n -- 8: You get an emblem with ""Whenever a creature dies, return it to the battlefield under your control at the beginning of the next end step."" ",NULL
101,33e542ce-1106-489d-9563-bd62886b8ed3,transform,Flameheart Werewolf,Creature -- Werewolf,3,2,NULL,NULL,Transform,"Whenever Flameheart Werewolf blocks or becomes blocked by a creature, Flameheart Werewolf deals 2 damage to that creature.\nAt the beginning of each upkeep, if a player cast two or more spells last turn, transform Flameheart Werewolf.",NULL
102,340b660c-9aa1-4bd2-8c6f-d9af7fee5f4a,transform,Ludevic's Abomination,Creature -- Lizard Horror,13,13,NULL,NULL,"Transform,Trample,Defender",Trample,"""After several frustrating experiments, the visionary Ludevic realized he needed to create a monster that fed on torch-wielding mobs."""
103,359d1b13-6156-43b0-a9a7-6bfff36c1a91,transform,Awoken Horror,Creature -- Kraken Horror,7,8,NULL,NULL,"Transform,Defender","When this creature transforms into Awoken Horror, return all non-Horror creatures to their owners' hands.","""It serves as evidence of the ancient power of the deep, a reminder that the sea is the only thing worthy of reverence.""\n -- Runo Stromkirk"
104,366e9845-019d-47cc-adb8-8fbbaad35b6d,modal_dfc,Kabira Plateau,Land,NULL,NULL,NULL,NULL,NULL,Kabira Plateau enters the battlefield tapped.\n{T}: Add {W}.,"""Wise adventurers -- and clever beasties -- stick to the higher ground.""\n -- Kreq of Sunder Bay"
105,36d2e995-e21e-47a4-b9e0-09a729adde95,art_series,Island 1,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,37002423-4984-45d2-8aa7-b1816fef6e91,modal_dfc,Kazandu Valley,Land,NULL,NULL,NULL,NULL,Landfall,Kazandu Valley enters the battlefield tapped.\n{T}: Add {G}.,"""The elves stick to the trees. Here, where the trees welcome the sky and leave room for grazing herds -- this is our land.""\n -- Triel, Kazandu tuskcaller"
107,3802a09a-4a40-4a17-a1c3-1a2c1b299b71,art_series,Murkwater Pathway,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,38a44ab3-1bb1-489f-b39d-dec9c2e7f0c0,art_series,Dregscape Sliver,Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL
